PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40070578,Editorial: Methods in predictive toxicology 2023.,2025-02-25,"Manganelli, Serena, Magarkar, Aniket","Lausanne, Boehringer Ingelheim Pharma GmbH & Co. KG",
40058987,CFTR modulators and pregnancy outcomes: Early findings from a nationwide cohort study.,2025-03-08,"Chouchana, Laurent, Martin, Clémence, Burgel, Pierre-Régis","Regional Center of Pharmacovigilance, Institut Cochin",
40056291,Might We Come Together on a Paradigm Shift to Manage ICSRs with a Decentralized Data Model?,2025-03-08,"Smith, Lucinda, Kempf, Dieter, Roman, Xaymara, Artlich, Charlotte, Patel, Mayur A","Global Medical Safety, Pharmaceuticals, Global Patient Safety Department, Product Development Safety Risk Management",
40053562,Hypertension associated with serotonin reuptake inhibitors: A new analysis in the WHO pharmacovigilance database and examination of dose-dependency.,2025-03-07,"Fedrizzi, Sophie, Sassier, Marion, Dolladille, Charles, Alexandre, Joachim",Pharmacology Department,
40047530,"Safety and Tolerability of Xanomeline and Trospium Chloride in Schizophrenia: Pooled Results From the 5-Week, Randomized, Double-Blind, Placebo-Controlled EMERGENT Trials.",2025-02-26,"Brannan, Stephen K, Raj, Edwin, Ruan, Shiling, Konis, George, Marcus, Ronald","Princeton, Drug Safety Pharmacovigilance, Arkansas.",
40034417,"Comparative Analysis of Psychosocial Outcomes and Quality of Life Among Nulligravida, Primigravida, and Multigravida Women Diagnosed With Polycystic Ovary Syndrome (PCOS).",2025-03-01,"Rehman, Fatima, Lnu, Ashraf, Lnu, Rumman","Pro-Gene Diagnostics and Research Laboratory, Gynecology, Pharmacovigilance/Active Drug Safety Monitoring and Management",
40032797,Opinion Mining of Erowid's Experience Reports on LSD and Psilocybin-Containing Mushrooms.,2025-03-04,"Younus, Manal",Iraqi Pharmacovigilance Centre,
40022540,The role of artificial intelligence in pharmacovigilance for rare diseases.,2025-03-01,"Jain, Ashish, Adenwala, Zahabia","Curis Inc, Seres Therapeutics Inc",
40018984,Safety of the Selective JAK1 Inhibitor Oclacitinib in Dogs.,2025-02-28,"Nederveld, Steven M, Krautmann, Matthew J, Mitchell, John",USA.,
40018398,"Impact of in-service training on the knowledge, attitude, and practice of pharmacovigilance in Malawi: a cross-sectional mixed methods study.",2024-10-16,"Ndalama, Anderson, Sambakunsi, Cecelia",Pharmacy and Medicine Regulatory Authority,
40011171,[HOPIPRAC: Pharmacovigilance interface for detecting cases of adverse events in a hospital data warehouse].,2025-02-08,"El Aridi, Layal, Jantzem, Hélène, Carlhant-Kowalski, Dominique, Gourier, Greta",Centre régional de pharmacovigilance,
40007990,The UK's Early Access to Medicines Scheme 10 years on: an evaluation using publicly available data.,2025-02-24,"Pound, Pandora, Ram, Rebecca, Archibald, Kathy",Safer Medicines Trust,
39994875,Prescriptions of CYP3A4- and P-gp inducers for patients on direct oral anticoagulants: Bridging the gap between epidemiology and patient management for optimal thromboembolic event prevention.,2025-02-24,"Wuyts, Stephanie C M, Cortoos, Pieter-Jan, Steurbaut, Stephane, Cornu, Pieter","Pharmacy Department, Belgium.; Department of Information and Communication Technology",
39987509,Adverse Reactions by Radiopharmaceuticals: Retrospective Analysis of the Portuguese National Pharmacovigilance System.,2025-02-23,"Martins, Sara, Jesus, Ângelo, Andrade, Ricardo, Rocha, Mariana, Martín-Suarez, Ana","Escola Superior de Saúde, OWLPharma Consulting, Universidad de Salamanca",
39987376,Are Causal Statements Reported in Pharmacovigilance Disproportionality Analyses Using Individual Case Safety Reports Exaggerated in Related Citations? A Meta-epidemiological Study.,2025-02-22,"Salvo, Francesco",France.; Service de Pharmacologie Médicale,
39980606,Janus kinase inhibitor treatment for inflammatory diseases: excess or no excess risk of venous thromboembolism?,2024-12-31,"Dawudi, Yachar, Benarroch, Samuel, Helfer, Hélène",Colombes,
39980595,[The role of the Pan American Committee for Safe Vaccination (COPAVASE) in strengthening safe vaccination in the AmericasO papel do Comitê Pan-Americano de Vacinação Segura (COPAVASE) no fortalecimento da vacinação segura nas Américas].,2025-02-20,"Gentile, Ángela, Vergara, Verónica, Cravioto, Alejandro, Teresa Valenzuela, María, Alberto Cortés, Jorge, Felipe Molina-León, Helvert","Facultad de Medicina Universidad Nacional Autónoma de México Ciudad de México México Facultad de Medicina, Instituto de Salud Pública de Chile Santiago de Chile Chile Instituto de Salud Pública de Chile, Medicina Interna Universidad Nacional de Colombia Bogotá, Programa Especial de Inmunizaciones Organización Panamericana de la Salud Washington, Comisión Nacional de Inmunizaciones Ciudad Autónoma de Buenos Aires Argentina Comisión Nacional de Inmunizaciones, Universidad San Sebastián Santiago de Chile Chile Universidad San Sebastián",
39973428,Post-marketing regulatory actions in Portugal-A retrospective analysis between 2013 and 2023.,2024-11-15,"Silva, Vítor",Unidade Local de Saúde de Coimbra,
39962455,Monitoring and active surveillance of adverse events following the booster dose of AZD1222 vaccine in people vaccinated with Sinopharm BBIBP-CorV: a cohort study.,2025-02-17,"Gouya, Mohammad Mehdi",Iranian Center for Communicable Diseases Control,
